Ground-truth,frame,xnano,ynano,znano,intensity
1, 2, 29567.54, 15348.61, 100.43, 4861.02
2, 2, 19323.68, 12861.39, 100.77, 4861.02
3, 2, 20122.85, 12880.40, 99.00, 4861.02
4, 2, 34402.20, 18649.02, 100.72, 4861.02
5, 2, 26725.96, 17559.09, 99.67, 4861.02
6, 2, 30419.65, 18142.51, 99.20, 4861.02
7, 2, 32916.74, 18671.26, 100.20, 4861.02
8, 2, 4773.38, 19554.11, 99.53, 4861.02
9, 2, 23460.43, 21160.68, 99.77, 4861.02
10, 2, 16019.95, 25316.98, 99.62, 4861.02
11, 2, 30360.67, 22630.07, 100.34, 4861.02
12, 2, 9195.03, 23232.27, 99.26, 4861.02
13, 2, 18149.52, 25513.57, 99.19, 4861.02
14, 2, 26390.28, 24377.51, 100.71, 4861.02
